order_id,order_date,product_id,product_name,category,quantity_sold,unit_price,sales_amount,profit,payment_mode,region
40,2025-11-12,P248,Beverages_Item_248,Beverages,8,749,5992,1040.81,Card,West
41,2025-09-17,P139,Beverages_Item_139,Beverages,7,708,4956,679.89,Cash,Central
42,2025-02-28,P114,Personal Care_Item_114,Personal Care,6,807,4842,570.61,Cash,Central
43,2025-04-03,P014,Personal Care_Item_14,Personal Care,7,1446,10122,1490.81,Net Banking,West
44,2025-07-05,P129,Personal Care_Item_129,Personal Care,7,1786,12502,2150.26,Card,Central
45,2025-09-20,P062,Groceries_Item_62,Groceries,6,916,5496,756.74,Net Banking,West
46,2025-09-02,P114,Personal Care_Item_114,Personal Care,7,807,5649,511.54,Net Banking,East
47,2025-06-02,P245,Personal Care_Item_245,Personal Care,2,1070,2140,238.13,UPI,Central
48,2025-06-17,P072,Snacks_Item_72,Snacks,3,737,2211,271.45,Card,North
49,2025-02-28,P185,Household_Item_185,Household,2,1346,2692,413.89,UPI,East
50,2025-07-20,P085,Beverages_Item_85,Beverages,3,70,210,21.17,Net Banking,East
51,2025-03-18,P226,Beverages_Item_226,Beverages,3,242,726,95.93,UPI,North
52,2025-11-15,P082,Beverages_Item_82,Beverages,5,1279,6395,818.2,UPI,South
53,2025-12-09,P032,Household_Item_32,Household,2,1812,3624,411.56,Card,Central
54,2025-06-09,P285,Stationery_Item_285,Stationery,4,650,2600,410.76,UPI,North
55,2025-03-30,P166,Snacks_Item_166,Snacks,4,630,2520,429.55,Card,South
56,2025-08-24,P003,Beverages_Item_3,Beverages,8,1140,9120,1748.35,Cash,North
57,2025-04-30,P042,Household_Item_42,Household,1,871,871,112.41,UPI,North
58,2025-06-30,P097,Snacks_Item_97,Snacks,5,885,4425,548.47,UPI,South
59,2025-02-03,P010,Household_Item_10,Household,7,1368,9576,1491.58,Cash,East
60,2025-11-08,P039,Stationery_Item_39,Stationery,3,1769,5307,852.26,Card,Central
61,2025-12-29,P214,Groceries_Item_214,Groceries,6,222,1332,231.71,Card,East
62,2025-09-28,P155,Stationery_Item_155,Stationery,2,1641,3282,624.84,Cash,South
63,2025-11-18,P056,Beverages_Item_56,Beverages,4,743,2972,393.25,Card,East
64,2025-12-06,P112,Groceries_Item_112,Groceries,2,1053,2106,360.35,Card,South
65,2025-12-05,P167,Snacks_Item_167,Snacks,5,1898,9490,1981.77,Card,West
66,2025-09-14,P241,Personal Care_Item_241,Personal Care,4,1064,4256,677.58,Card,East
67,2025-10-25,P289,Beverages_Item_289,Beverages,4,110,440,65.54,Cash,North
68,2025-06-22,P076,Personal Care_Item_76,Personal Care,5,1713,8565,889.32,UPI,Central
69,2025-12-08,P205,Household_Item_205,Household,1,1161,1161,179.3,UPI,West
70,2025-09-13,P083,Household_Item_83,Household,5,1646,8230,695.04,Cash,Central
71,2025-04-11,P043,Beverages_Item_43,Beverages,7,315,2205,353.14,Net Banking,East
72,2025-09-01,P055,Snacks_Item_55,Snacks,2,552,1104,153.45,Net Banking,North
73,2025-09-25,P219,Household_Item_219,Household,8,91,728,156.87,Cash,West
74,2025-03-14,P277,Household_Item_277,Household,4,1776,7104,804.01,Card,North
75,2025-12-07,P049,Stationery_Item_49,Stationery,6,1758,10548,1291.59,UPI,West
76,2025-11-25,P296,Stationery_Item_296,Stationery,2,770,1540,131.92,UPI,North
77,2025-08-11,P283,Household_Item_283,Household,6,318,1908,356.42,Card,North
78,2025-05-24,P185,Household_Item_185,Household,6,1346,8076,1331.7,UPI,West
79,2025-09-28,P190,Household_Item_190,Household,2,1400,2800,370.87,Net Banking,South
80,2025-12-06,P227,Household_Item_227,Household,7,1484,10388,1532.51,Cash,South
81,2025-10-29,P132,Beverages_Item_132,Beverages,6,224,1344,149.21,Card,South
82,2025-04-25,P108,Groceries_Item_108,Groceries,3,653,1959,263.69,Cash,East
83,2025-10-20,P204,Stationery_Item_204,Stationery,8,1786,14288,1635.14,Card,South
84,2025-12-12,P135,Beverages_Item_135,Beverages,3,1600,4800,463.23,Net Banking,Central
85,2025-03-14,P112,Groceries_Item_112,Groceries,6,1053,6318,1260.29,Net Banking,North
86,2025-09-13,P155,Stationery_Item_155,Stationery,1,1641,1641,168.42,Card,North
87,2025-07-24,P070,Personal Care_Item_70,Personal Care,7,906,6342,1050.3,UPI,South
88,2025-10-23,P076,Personal Care_Item_76,Personal Care,1,1713,1713,181.88,UPI,West
89,2025-11-22,P261,Personal Care_Item_261,Personal Care,6,599,3594,365.79,Cash,East
90,2025-08-09,P074,Personal Care_Item_74,Personal Care,3,1123,3369,315.81,Net Banking,East
91,2025-12-26,P218,Groceries_Item_218,Groceries,8,1489,11912,994.55,Card,West
92,2025-04-28,P123,Groceries_Item_123,Groceries,6,951,5706,551.16,Cash,East
93,2025-06-13,P155,Stationery_Item_155,Stationery,4,1641,6564,645.97,UPI,East
94,2025-11-02,P246,Groceries_Item_246,Groceries,8,1207,9656,1814.6,Net Banking,South
95,2025-09-16,P051,Personal Care_Item_51,Personal Care,8,1189,9512,1244.13,UPI,West
96,2025-07-15,P016,Stationery_Item_16,Stationery,1,503,503,70.52,Cash,West
97,2025-07-16,P048,Groceries_Item_48,Groceries,8,1295,10360,920.51,Net Banking,North
98,2025-01-28,P270,Household_Item_270,Household,2,686,1372,182.06,UPI,North
99,2025-09-15,P140,Groceries_Item_140,Groceries,7,1209,8463,860.48,UPI,South
100,2025-06-27,P115,Stationery_Item_115,Stationery,7,1649,11543,1948.01,UPI,East
101,2025-11-20,P077,Groceries_Item_77,Groceries,7,1874,13118,1295.92,Card,East
102,2025-10-11,P076,Personal Care_Item_76,Personal Care,2,1713,3426,598.12,Card,West
103,2025-06-20,P241,Personal Care_Item_241,Personal Care,2,1064,2128,402.55,UPI,South
104,2025-06-13,P274,Household_Item_274,Household,3,925,2775,235.61,Card,Central
105,2025-01-09,P018,Beverages_Item_18,Beverages,5,1554,7770,1368.59,UPI,North
106,2025-02-10,P179,Groceries_Item_179,Groceries,8,1040,8320,984.76,Card,Central
107,2025-01-18,P251,Snacks_Item_251,Snacks,8,991,7928,1223.63,Cash,East
108,2025-03-01,P289,Beverages_Item_289,Beverages,7,110,770,85.15,Net Banking,North
109,2025-07-29,P091,Groceries_Item_91,Groceries,1,1397,1397,215.6,UPI,Central
110,2025-06-06,P030,Snacks_Item_30,Snacks,8,325,2600,295.02,Net Banking,South
111,2025-03-08,P253,Personal Care_Item_253,Personal Care,2,1587,3174,473.87,Cash,South
112,2025-02-25,P273,Personal Care_Item_273,Personal Care,4,678,2712,230.44,UPI,North
113,2025-04-10,P297,Snacks_Item_297,Snacks,1,463,463,37.68,UPI,East
114,2025-02-17,P084,Stationery_Item_84,Stationery,6,958,5748,626.14,UPI,East
115,2025-08-09,P138,Snacks_Item_138,Snacks,5,125,625,68.86,UPI,Central
116,2025-01-25,P203,Personal Care_Item_203,Personal Care,1,1388,1388,158.66,Card,North
117,2025-08-31,P277,Household_Item_277,Household,1,1776,1776,375.43,Net Banking,South
118,2025-04-15,P031,Stationery_Item_31,Stationery,6,687,4122,724.17,Net Banking,East
119,2025-06-15,P096,Beverages_Item_96,Beverages,7,92,644,87.07,UPI,Central
120,2025-04-25,P274,Household_Item_274,Household,4,925,3700,463.39,Cash,South
121,2025-05-05,P284,Personal Care_Item_284,Personal Care,1,1346,1346,254.99,Cash,West
122,2025-05-17,P099,Snacks_Item_99,Snacks,5,1121,5605,1157.63,Card,Central
123,2025-05-02,P259,Stationery_Item_259,Stationery,6,953,5718,479.64,Card,North
124,2025-08-14,P223,Household_Item_223,Household,6,1722,10332,2064.8,Card,South
125,2025-02-15,P186,Beverages_Item_186,Beverages,1,954,954,207.72,Cash,Central
126,2025-06-21,P188,Snacks_Item_188,Snacks,5,1759,8795,1829.6,Card,South
127,2025-02-16,P029,Groceries_Item_29,Groceries,3,1010,3030,356.67,UPI,Central
128,2025-02-27,P041,Household_Item_41,Household,4,433,1732,151.67,UPI,North
129,2025-04-09,P080,Beverages_Item_80,Beverages,1,1815,1815,248.63,UPI,South
130,2025-01-20,P044,Stationery_Item_44,Stationery,6,441,2646,517.22,Card,East
131,2025-12-18,P163,Snacks_Item_163,Snacks,2,157,314,48.83,UPI,East
132,2025-01-05,P036,Snacks_Item_36,Snacks,8,1393,11144,2084.29,Net Banking,West
133,2025-11-30,P107,Household_Item_107,Household,7,393,2751,551.22,Net Banking,West
134,2025-07-12,P135,Beverages_Item_135,Beverages,4,1600,6400,1048.83,Cash,North
135,2025-02-18,P119,Personal Care_Item_119,Personal Care,8,968,7744,1481.38,Cash,North
136,2025-12-11,P110,Beverages_Item_110,Beverages,8,821,6568,1135.21,Cash,Central
137,2025-09-25,P206,Household_Item_206,Household,6,224,1344,166.81,UPI,Central
138,2025-06-19,P236,Household_Item_236,Household,5,1812,9060,1432.46,Cash,West
139,2025-01-11,P177,Groceries_Item_177,Groceries,4,637,2548,516.72,UPI,Central
140,2025-09-21,P002,Household_Item_2,Household,8,1566,12528,1913.33,Cash,East
141,2025-03-12,P219,Household_Item_219,Household,1,91,91,10.79,Cash,Central
142,2025-10-11,P062,Groceries_Item_62,Groceries,8,916,7328,1029.21,Cash,East
143,2025-02-04,P019,Beverages_Item_19,Beverages,8,1293,10344,1425.18,Card,North
144,2025-02-26,P074,Personal Care_Item_74,Personal Care,6,1123,6738,1244.35,Card,Central
145,2025-05-29,P010,Household_Item_10,Household,5,1368,6840,1117.04,Card,North
146,2025-05-26,P185,Household_Item_185,Household,3,1346,4038,431.34,Card,East
147,2025-03-05,P058,Personal Care_Item_58,Personal Care,3,1833,5499,1047.38,Cash,Central
148,2025-09-24,P173,Household_Item_173,Household,4,1970,7880,1075.92,Cash,North
149,2025-11-05,P007,Snacks_Item_7,Snacks,6,303,1818,360.32,Cash,South
150,2025-12-08,P083,Household_Item_83,Household,3,1646,4938,454.23,UPI,South
151,2025-04-19,P248,Beverages_Item_248,Beverages,6,749,4494,477.83,Cash,East
152,2025-06-22,P076,Personal Care_Item_76,Personal Care,7,1713,11991,1607.18,Net Banking,East
153,2025-11-21,P085,Beverages_Item_85,Beverages,2,70,140,26.35,UPI,East
154,2025-11-28,P103,Snacks_Item_103,Snacks,5,1951,9755,1337.27,Cash,North
155,2025-02-19,P170,Snacks_Item_170,Snacks,8,840,6720,610.19,UPI,North
156,2025-12-29,P083,Household_Item_83,Household,1,1646,1646,261.42,UPI,North
157,2025-07-25,P241,Personal Care_Item_241,Personal Care,8,1064,8512,1042.34,Card,West
158,2025-05-05,P104,Personal Care_Item_104,Personal Care,6,956,5736,553.57,UPI,North
159,2025-06-17,P262,Beverages_Item_262,Beverages,1,1202,1202,210.83,Cash,North
160,2025-04-16,P242,Stationery_Item_242,Stationery,5,1173,5865,956.78,Net Banking,East
161,2025-02-25,P109,Personal Care_Item_109,Personal Care,8,686,5488,783.67,Cash,West
162,2025-01-06,P038,Personal Care_Item_38,Personal Care,7,638,4466,730.7,Card,East
163,2025-11-19,P123,Groceries_Item_123,Groceries,8,951,7608,1325.22,Cash,East
164,2025-05-19,P132,Beverages_Item_132,Beverages,4,224,896,74.67,UPI,Central
165,2025-12-27,P246,Groceries_Item_246,Groceries,4,1207,4828,803.15,Card,South
166,2025-08-12,P300,Beverages_Item_300,Beverages,2,876,1752,182.21,Cash,South
167,2025-05-13,P290,Personal Care_Item_290,Personal Care,1,1396,1396,260.01,UPI,North
168,2025-01-11,P055,Snacks_Item_55,Snacks,5,552,2760,522.05,Net Banking,North
169,2025-10-04,P194,Groceries_Item_194,Groceries,7,272,1904,325.08,UPI,East
170,2025-08-02,P067,Personal Care_Item_67,Personal Care,8,169,1352,147.02,Card,West
171,2025-10-06,P212,Snacks_Item_212,Snacks,7,170,1190,143.71,Cash,East
172,2025-01-19,P057,Household_Item_57,Household,6,1411,8466,1749.94,UPI,Central
173,2025-02-20,P219,Household_Item_219,Household,3,91,273,50.27,Card,East
174,2025-07-25,P007,Snacks_Item_7,Snacks,4,303,1212,228.76,UPI,North
175,2025-02-05,P110,Beverages_Item_110,Beverages,6,821,4926,975.48,Card,North
176,2025-04-25,P258,Household_Item_258,Household,4,1614,6456,702.06,Net Banking,Central
177,2025-09-21,P113,Groceries_Item_113,Groceries,2,1524,3048,445.49,Net Banking,Central
178,2025-08-03,P064,Groceries_Item_64,Groceries,4,1341,5364,985.23,Card,East
179,2025-05-18,P293,Beverages_Item_293,Beverages,6,497,2982,262.91,UPI,East
180,2025-07-21,P049,Stationery_Item_49,Stationery,4,1758,7032,1073.46,Cash,Central
181,2025-11-07,P032,Household_Item_32,Household,2,1812,3624,764.17,Net Banking,East
182,2025-05-01,P052,Groceries_Item_52,Groceries,8,1469,11752,1315.02,Card,West
183,2025-06-15,P263,Stationery_Item_263,Stationery,3,1408,4224,492.13,Net Banking,South
184,2025-08-31,P264,Groceries_Item_264,Groceries,5,1033,5165,800.6,Cash,West
185,2025-06-29,P132,Beverages_Item_132,Beverages,1,224,224,35.91,UPI,Central
186,2025-10-18,P018,Beverages_Item_18,Beverages,6,1554,9324,1547.28,UPI,North
187,2025-04-30,P010,Household_Item_10,Household,1,1368,1368,228.23,Cash,Central
188,2025-03-04,P052,Groceries_Item_52,Groceries,1,1469,1469,161.14,Net Banking,East
189,2025-01-09,P011,Stationery_Item_11,Stationery,3,740,2220,274.74,Cash,North
190,2025-03-21,P023,Groceries_Item_23,Groceries,1,1037,1037,179.3,Net Banking,South
191,2025-09-21,P024,Beverages_Item_24,Beverages,2,1868,3736,574.5,Cash,Central
192,2025-06-19,P227,Household_Item_227,Household,5,1484,7420,1274.25,UPI,Central
193,2025-06-08,P076,Personal Care_Item_76,Personal Care,8,1713,13704,1847.37,Cash,East
194,2025-11-21,P169,Personal Care_Item_169,Personal Care,2,205,410,89.95,Card,South
195,2025-08-28,P260,Personal Care_Item_260,Personal Care,2,1184,2368,196.86,Net Banking,West
196,2025-06-13,P068,Beverages_Item_68,Beverages,1,425,425,57.23,Net Banking,Central
197,2025-04-07,P295,Beverages_Item_295,Beverages,6,1426,8556,1675.49,Cash,South
198,2025-11-06,P101,Groceries_Item_101,Groceries,7,769,5383,1043.48,Cash,North
199,2025-11-15,P166,Snacks_Item_166,Snacks,5,630,3150,476.34,Card,East
200,2025-02-18,P033,Snacks_Item_33,Snacks,8,361,2888,407.84,Card,Central
201,2025-11-04,P200,Personal Care_Item_200,Personal Care,8,1462,11696,1166.87,UPI,West
202,2025-11-11,P277,Household_Item_277,Household,3,1776,5328,1009.65,Net Banking,East
203,2025-06-05,P057,Household_Item_57,Household,3,1411,4233,443.85,Cash,South
204,2025-01-19,P160,Personal Care_Item_160,Personal Care,4,1046,4184,541.57,Card,West
205,2025-02-02,P253,Personal Care_Item_253,Personal Care,7,1587,11109,1669.4,Net Banking,West
206,2025-06-18,P295,Beverages_Item_295,Beverages,8,1426,11408,1268.85,Net Banking,East
207,2025-03-16,P137,Snacks_Item_137,Snacks,2,1510,3020,436.43,UPI,East
208,2025-01-08,P033,Snacks_Item_33,Snacks,4,361,1444,140.93,UPI,East
209,2025-07-03,P091,Groceries_Item_91,Groceries,6,1397,8382,746.93,Net Banking,East
210,2025-06-22,P212,Snacks_Item_212,Snacks,5,170,850,73.81,Card,East
211,2025-09-29,P094,Groceries_Item_94,Groceries,8,1968,15744,3272.8,Net Banking,North
212,2025-04-11,P068,Beverages_Item_68,Beverages,6,425,2550,331.88,Cash,North
213,2025-06-21,P144,Snacks_Item_144,Snacks,2,668,1336,151.54,Net Banking,West
214,2025-11-15,P227,Household_Item_227,Household,2,1484,2968,338.54,Net Banking,West
215,2025-07-05,P049,Stationery_Item_49,Stationery,1,1758,1758,247.92,UPI,East
216,2025-12-22,P272,Snacks_Item_272,Snacks,8,44,352,32.03,Cash,West
217,2025-09-06,P274,Household_Item_274,Household,6,925,5550,550.48,Cash,Central
218,2025-10-27,P227,Household_Item_227,Household,4,1484,5936,884.66,UPI,North
219,2025-04-22,P007,Snacks_Item_7,Snacks,5,303,1515,194.08,Cash,North
220,2025-05-24,P211,Household_Item_211,Household,3,628,1884,202.5,Card,West
221,2025-05-10,P017,Personal Care_Item_17,Personal Care,8,185,1480,230.19,Card,South
222,2025-11-17,P122,Groceries_Item_122,Groceries,1,1100,1100,186.55,Cash,Central
223,2025-12-15,P091,Groceries_Item_91,Groceries,8,1397,11176,1023.66,Cash,South
224,2025-05-09,P133,Stationery_Item_133,Stationery,4,1906,7624,694.7,Card,North
225,2025-10-26,P116,Groceries_Item_116,Groceries,6,1483,8898,1830.81,Net Banking,North
226,2025-07-27,P132,Beverages_Item_132,Beverages,6,224,1344,175.49,Net Banking,East
227,2025-08-14,P101,Groceries_Item_101,Groceries,6,769,4614,829.04,UPI,North
228,2025-02-09,P157,Beverages_Item_157,Beverages,7,588,4116,520.75,UPI,West
229,2025-11-03,P143,Beverages_Item_143,Beverages,5,810,4050,484.69,Cash,East
230,2025-10-28,P260,Personal Care_Item_260,Personal Care,8,1184,9472,941.26,Cash,South
231,2025-06-19,P164,Stationery_Item_164,Stationery,3,1551,4653,903.57,Cash,East
232,2025-10-13,P135,Beverages_Item_135,Beverages,5,1600,8000,688.98,UPI,West
233,2025-01-07,P196,Snacks_Item_196,Snacks,1,651,651,141.39,Cash,South
234,2025-10-23,P299,Beverages_Item_299,Beverages,3,1216,3648,414.72,UPI,East
235,2025-05-06,P082,Beverages_Item_82,Beverages,5,1279,6395,995.72,UPI,North
236,2025-09-12,P181,Beverages_Item_181,Beverages,1,1435,1435,117.62,UPI,East
237,2025-11-26,P117,Personal Care_Item_117,Personal Care,5,1730,8650,1427.17,Card,Central
238,2025-11-27,P200,Personal Care_Item_200,Personal Care,7,1462,10234,1999.53,Net Banking,North
239,2025-11-17,P286,Groceries_Item_286,Groceries,5,1118,5590,908.24,Cash,Central
240,2025-03-08,P004,Snacks_Item_4,Snacks,2,708,1416,165.86,Card,South
241,2025-07-11,P212,Snacks_Item_212,Snacks,4,170,680,128.32,Net Banking,West
242,2025-10-22,P012,Snacks_Item_12,Snacks,3,669,2007,376.1,Cash,Central
243,2025-03-27,P160,Personal Care_Item_160,Personal Care,7,1046,7322,895.65,Cash,South
244,2025-09-16,P234,Groceries_Item_234,Groceries,4,153,612,94.3,Card,South
245,2025-08-20,P008,Groceries_Item_8,Groceries,7,854,5978,776.85,Net Banking,South
246,2025-01-26,P045,Groceries_Item_45,Groceries,1,1191,1191,128.22,Card,West
247,2025-03-18,P086,Beverages_Item_86,Beverages,4,729,2916,522.39,Card,Central
248,2025-09-18,P023,Groceries_Item_23,Groceries,7,1037,7259,1344.35,Cash,South
249,2025-11-10,P144,Snacks_Item_144,Snacks,3,668,2004,273.59,Card,East
250,2025-01-02,P179,Groceries_Item_179,Groceries,1,1040,1040,221.08,Card,East
251,2025-11-29,P153,Groceries_Item_153,Groceries,8,251,2008,331.16,Cash,West
252,2025-07-25,P054,Household_Item_54,Household,3,755,2265,186.68,UPI,East
253,2025-05-28,P074,Personal Care_Item_74,Personal Care,6,1123,6738,830.68,Cash,North
254,2025-06-25,P186,Beverages_Item_186,Beverages,4,954,3816,433.09,Net Banking,East
255,2025-12-10,P132,Beverages_Item_132,Beverages,1,224,224,21.74,Cash,Central
256,2025-10-23,P069,Stationery_Item_69,Stationery,7,1628,11396,2236.18,UPI,East
257,2025-06-19,P231,Household_Item_231,Household,6,990,5940,513.18,Net Banking,West
258,2025-09-16,P126,Personal Care_Item_126,Personal Care,1,532,532,58.68,Net Banking,Central
259,2025-09-05,P158,Beverages_Item_158,Beverages,8,1407,11256,1444.61,Cash,South
260,2025-01-22,P072,Snacks_Item_72,Snacks,6,737,4422,925.82,Net Banking,East
261,2025-01-15,P167,Snacks_Item_167,Snacks,6,1898,11388,1423.6,Cash,West
262,2025-10-01,P045,Groceries_Item_45,Groceries,1,1191,1191,199.62,Net Banking,West
263,2025-08-06,P096,Beverages_Item_96,Beverages,4,92,368,32.05,Net Banking,Central
264,2025-10-28,P070,Personal Care_Item_70,Personal Care,8,906,7248,764.84,Cash,North
265,2025-03-07,P202,Groceries_Item_202,Groceries,2,239,478,90.5,UPI,West
266,2025-01-27,P080,Beverages_Item_80,Beverages,2,1815,3630,702.63,Card,West
267,2025-10-05,P104,Personal Care_Item_104,Personal Care,2,956,1912,232.03,UPI,South
268,2025-09-07,P122,Groceries_Item_122,Groceries,6,1100,6600,1003.91,UPI,West
269,2025-08-21,P025,Personal Care_Item_25,Personal Care,5,1796,8980,841.21,Card,South
270,2025-09-30,P120,Personal Care_Item_120,Personal Care,4,1698,6792,1376.52,Cash,East
271,2025-06-12,P180,Snacks_Item_180,Snacks,1,1695,1695,174.66,Net Banking,East
272,2025-06-20,P078,Household_Item_78,Household,2,916,1832,338.43,Cash,North
273,2025-03-14,P044,Stationery_Item_44,Stationery,4,441,1764,146.11,Net Banking,South
274,2025-01-21,P123,Groceries_Item_123,Groceries,2,951,1902,305.08,Cash,East
275,2025-09-14,P239,Beverages_Item_239,Beverages,8,502,4016,761.7,Net Banking,West
276,2025-12-27,P142,Household_Item_142,Household,8,1340,10720,1524.23,Net Banking,East
277,2025-07-17,P243,Snacks_Item_243,Snacks,7,133,931,176.97,Cash,Central
278,2025-05-19,P202,Groceries_Item_202,Groceries,4,239,956,206.73,UPI,South
279,2025-10-19,P175,Beverages_Item_175,Beverages,3,150,450,42.61,Net Banking,West
280,2025-10-19,P077,Groceries_Item_77,Groceries,8,1874,14992,2431.76,Card,West
281,2025-08-01,P180,Snacks_Item_180,Snacks,6,1695,10170,985.71,Card,North
282,2025-11-23,P248,Beverages_Item_248,Beverages,6,749,4494,571.76,Card,Central
283,2025-09-07,P125,Groceries_Item_125,Groceries,3,1488,4464,593.33,Card,South
284,2025-10-13,P046,Stationery_Item_46,Stationery,5,1285,6425,637.8,Cash,Central
285,2025-10-18,P296,Stationery_Item_296,Stationery,5,770,3850,356.08,Card,South
286,2025-12-30,P047,Groceries_Item_47,Groceries,1,1774,1774,253.61,Cash,East
287,2025-01-20,P197,Stationery_Item_197,Stationery,1,1286,1286,175.22,UPI,West
288,2025-02-01,P057,Household_Item_57,Household,5,1411,7055,843.44,Cash,East
289,2025-10-17,P005,Groceries_Item_5,Groceries,4,1230,4920,526.11,UPI,South
290,2025-08-04,P068,Beverages_Item_68,Beverages,4,425,1700,148.34,Card,South
291,2025-02-08,P279,Household_Item_279,Household,6,1554,9324,1646.61,UPI,East
292,2025-03-12,P083,Household_Item_83,Household,5,1646,8230,1432.42,UPI,Central
293,2025-11-14,P191,Household_Item_191,Household,2,1496,2992,495.33,UPI,Central
294,2025-12-16,P081,Groceries_Item_81,Groceries,3,583,1749,297.81,Net Banking,East
295,2025-11-07,P040,Snacks_Item_40,Snacks,8,799,6392,751.83,UPI,East
296,2025-08-26,P209,Stationery_Item_209,Stationery,5,724,3620,521.75,Net Banking,West
297,2025-11-05,P215,Snacks_Item_215,Snacks,6,927,5562,1064.78,Net Banking,West
298,2025-05-21,P206,Household_Item_206,Household,6,224,1344,119.86,UPI,South
299,2025-10-28,P132,Beverages_Item_132,Beverages,7,224,1568,158.94,UPI,North
300,2025-07-04,P215,Snacks_Item_215,Snacks,1,927,927,182.76,Card,South
301,2025-11-16,P270,Household_Item_270,Household,5,686,3430,401.16,UPI,East
302,2025-12-08,P212,Snacks_Item_212,Snacks,8,170,1360,168.79,Net Banking,East
303,2025-12-23,P029,Groceries_Item_29,Groceries,5,1010,5050,907.04,Cash,North
304,2025-03-12,P193,Stationery_Item_193,Stationery,5,1765,8825,1097.37,Cash,North
305,2025-02-28,P190,Household_Item_190,Household,6,1400,8400,1324.7,UPI,North
306,2025-11-22,P044,Stationery_Item_44,Stationery,2,441,882,192.71,Cash,North
307,2025-01-07,P295,Beverages_Item_295,Beverages,8,1426,11408,2026.9,Card,Central
308,2025-12-12,P272,Snacks_Item_272,Snacks,3,44,132,19.38,Cash,East
309,2025-12-08,P294,Personal Care_Item_294,Personal Care,1,1182,1182,111.37,Cash,East
310,2025-11-14,P209,Stationery_Item_209,Stationery,1,724,724,155.42,UPI,West
311,2025-03-02,P042,Household_Item_42,Household,1,871,871,117.76,UPI,North
312,2025-06-28,P076,Personal Care_Item_76,Personal Care,6,1713,10278,2194.57,UPI,East
