inventory_id,product_id,stock_quantity,reorder_level,warehouse_location,last_restock_date
I0156,P0156,292,75,Indore,09-03-2025
I0157,P0157,657,46,Delhi,31-07-2025
I0158,P0158,148,44,Delhi,08-03-2025
I0159,P0159,479,114,Delhi,11-07-2025
I0160,P0160,384,50,Bhopal,11-02-2025
I0161,P0161,747,34,Pune,11-04-2025
I0162,P0162,398,99,Indore,22-02-2025
I0163,P0163,381,52,Delhi,03-04-2025
I0164,P0164,23,48,Delhi,03-06-2025
I0165,P0165,130,90,Indore,07-04-2025
I0166,P0166,116,51,Mumbai,18-02-2025
I0167,P0167,50,90,Bhopal,09-03-2025
I0168,P0168,295,88,Bhopal,26-03-2025
I0169,P0169,687,110,Indore,29-01-2025
I0170,P0170,543,45,Mumbai,07-09-2025
I0171,P0171,625,64,Indore,23-03-2025
I0172,P0172,71,74,Indore,16-04-2025
I0173,P0173,77,74,Indore,14-08-2025
I0174,P0174,390,118,Pune,12-03-2025
I0175,P0175,376,100,Delhi,31-08-2025
I0176,P0176,153,91,Indore,01-06-2025
I0177,P0177,587,115,Bhopal,28-02-2025
I0178,P0178,632,61,Indore,07-06-2025
I0179,P0179,571,57,Mumbai,15-08-2025
I0180,P0180,472,42,Pune,14-08-2025
I0181,P0181,531,50,Indore,29-08-2025
I0182,P0182,263,105,Mumbai,07-09-2025
I0183,P0183,65,85,Mumbai,23-04-2025
I0184,P0184,616,27,Delhi,31-07-2025
I0185,P0185,464,107,Indore,09-04-2025
I0186,P0186,237,100,Mumbai,08-09-2025
I0187,P0187,245,61,Mumbai,12-07-2025
I0188,P0188,260,23,Bhopal,24-06-2025
I0189,P0189,93,83,Indore,06-04-2025
I0190,P0190,116,59,Mumbai,04-05-2025
I0191,P0191,141,48,Mumbai,20-03-2025
I0192,P0192,731,68,Indore,03-01-2025
I0193,P0193,379,29,Bhopal,02-04-2025
I0194,P0194,125,66,Mumbai,12-03-2025
I0195,P0195,213,57,Mumbai,01-05-2025
I0196,P0196,131,31,Indore,01-05-2025
I0197,P0197,146,21,Bhopal,16-05-2025
I0198,P0198,236,20,Bhopal,23-06-2025
I0199,P0199,569,90,Bhopal,10-08-2025
I0200,P0200,435,44,Bhopal,16-05-2025
I0201,P0201,83,107,Bhopal,19-08-2025
I0202,P0202,66,71,Bhopal,15-05-2025
I0203,P0203,395,65,Pune,14-08-2025
I0204,P0204,355,30,Delhi,29-04-2025
I0205,P0205,563,29,Pune,06-07-2025
I0206,P0206,800,85,Mumbai,06-05-2025
I0207,P0207,590,85,Bhopal,21-08-2025
I0208,P0208,625,55,Mumbai,13-03-2025
I0209,P0209,196,103,Bhopal,23-07-2025
I0210,P0210,341,104,Mumbai,06-04-2025
I0211,P0211,611,97,Indore,24-04-2025
I0212,P0212,301,37,Indore,12-04-2025
I0213,P0213,363,22,Pune,05-06-2025
I0214,P0214,344,86,Pune,22-01-2025
I0215,P0215,394,26,Bhopal,22-01-2025
I0216,P0216,189,56,Mumbai,01-09-2025
I0217,P0217,780,43,Delhi,03-07-2025
I0218,P0218,359,25,Mumbai,25-05-2025
I0219,P0219,522,38,Bhopal,25-02-2025
I0220,P0220,483,116,Pune,04-01-2025
I0221,P0221,505,116,Delhi,14-01-2025
I0222,P0222,165,31,Indore,02-01-2025
I0223,P0223,155,53,Mumbai,01-04-2025
I0224,P0224,90,47,Bhopal,20-08-2025
I0225,P0225,131,30,Delhi,07-08-2025
I0226,P0226,120,56,Indore,26-05-2025
I0227,P0227,238,109,Delhi,11-01-2025
I0228,P0228,96,67,Mumbai,27-05-2025
I0229,P0229,752,39,Mumbai,13-08-2025
I0230,P0230,120,89,Bhopal,12-07-2025
I0231,P0231,639,95,Mumbai,15-07-2025
I0232,P0232,136,49,Mumbai,10-04-2025
I0233,P0233,548,68,Pune,13-06-2025
I0234,P0234,459,78,Delhi,11-05-2025
I0235,P0235,325,116,Delhi,08-05-2025
I0236,P0236,126,63,Delhi,19-08-2025
I0237,P0237,444,33,Pune,17-06-2025
I0238,P0238,454,91,Pune,30-01-2025
I0239,P0239,129,115,Indore,27-02-2025
I0240,P0240,757,72,Mumbai,27-02-2025
I0241,P0241,793,45,Pune,27-04-2025
I0242,P0242,57,27,Mumbai,15-01-2025
I0243,P0243,188,27,Indore,08-07-2025
I0244,P0244,761,27,Pune,26-02-2025
I0245,P0245,675,104,Indore,10-04-2025
I0246,P0246,624,35,Mumbai,12-08-2025
I0247,P0247,195,35,Pune,18-05-2025
I0248,P0248,639,73,Indore,11-04-2025
I0249,P0249,41,34,Indore,05-02-2025
I0250,P0250,126,28,Pune,27-04-2025
I0251,P0251,425,76,Pune,06-06-2025
I0252,P0252,269,102,Mumbai,09-02-2025
I0253,P0253,18,68,Delhi,17-02-2025
I0254,P0254,281,84,Indore,12-03-2025
I0255,P0255,387,26,Delhi,17-03-2025
I0256,P0256,572,53,Mumbai,09-04-2025
I0257,P0257,667,70,Bhopal,26-03-2025
I0258,P0258,270,107,Mumbai,21-06-2025
I0259,P0259,161,107,Pune,23-01-2025
I0260,P0260,219,100,Bhopal,09-03-2025
I0261,P0261,320,75,Indore,29-07-2025
I0262,P0262,655,79,Delhi,22-02-2025
I0263,P0263,120,44,Pune,16-06-2025
I0264,P0264,315,44,Mumbai,20-05-2025
I0265,P0265,662,103,Delhi,15-06-2025
I0266,P0266,76,70,Delhi,22-03-2025
I0267,P0267,305,55,Mumbai,31-08-2025
I0268,P0268,792,80,Bhopal,01-04-2025
I0269,P0269,430,83,Delhi,05-09-2025
I0270,P0270,695,59,Bhopal,05-01-2025
I0271,P0271,164,29,Indore,07-07-2025
I0272,P0272,729,77,Mumbai,22-05-2025
I0273,P0273,359,98,Delhi,22-05-2025
I0274,P0274,391,56,Bhopal,05-08-2025
I0275,P0275,374,44,Mumbai,04-07-2025
I0276,P0276,228,104,Pune,25-04-2025
I0277,P0277,111,34,Pune,21-07-2025
I0278,P0278,459,23,Delhi,13-02-2025
I0279,P0279,721,115,Delhi,06-02-2025
I0280,P0280,763,49,Delhi,01-07-2025
I0281,P0281,31,49,Pune,04-03-2025
I0282,P0282,714,54,Delhi,29-08-2025
I0283,P0283,716,52,Mumbai,24-01-2025
I0284,P0284,786,94,Delhi,09-02-2025
I0285,P0285,194,57,Mumbai,14-05-2025
I0286,P0286,787,56,Indore,10-08-2025
I0287,P0287,751,28,Delhi,16-07-2025
I0288,P0288,642,56,Delhi,28-07-2025
I0289,P0289,37,53,Pune,11-05-2025
I0290,P0290,417,71,Bhopal,14-06-2025
I0291,P0291,158,53,Bhopal,07-07-2025
I0292,P0292,-6,67,Pune,07-07-2025
I0293,P0293,641,114,Pune,07-07-2025
I0294,P0294,271,21,Mumbai,25-01-2025
I0295,P0295,73,92,Delhi,12-01-2025
I0296,P0296,164,119,Bhopal,18-02-2025
I0297,P0297,57,26,Mumbai,14-07-2025
I0298,P0298,159,64,Bhopal,21-06-2025
I0299,P0299,423,37,Delhi,13-07-2025
I0300,P0300,510,84,Bhopal,01-04-2025
I0301,P0301,43,78,Delhi,05-05-2025
I0302,P0302,475,29,Delhi,09-04-2025
I0303,P0303,555,54,Delhi,09-01-2025
I0304,P0304,380,31,Bhopal,09-01-2025
I0305,P0305,102,78,Indore,06-06-2025
I0306,P0306,347,41,Bhopal,18-05-2025
I0307,P0307,241,24,Pune,27-03-2025
I0308,P0308,21,75,Bhopal,22-07-2025
I0309,P0309,770,31,Mumbai,14-04-2025
I0310,P0310,237,109,Delhi,07-07-2025
I0311,P0311,578,77,Delhi,23-02-2025
I0312,P0312,154,97,Delhi,20-03-2025
I0313,P0313,482,29,Pune,20-04-2025
I0314,P0314,215,81,Mumbai,17-02-2025
I0315,P0315,98,107,Delhi,14-06-2025
I0316,P0316,383,83,Pune,28-04-2025
I0317,P0317,296,80,Indore,28-04-2025
I0318,P0318,55,59,Indore,29-04-2025
I0319,P0319,448,105,Mumbai,07-04-2025
I0320,P0320,382,110,Delhi,10-08-2025
I0321,P0321,578,51,Indore,10-08-2025
I0322,P0322,634,27,Mumbai,15-07-2025
I0323,P0323,155,20,Delhi,02-01-2025
I0324,P0324,196,120,Mumbai,10-02-2025
I0325,P0325,545,114,Bhopal,10-03-2025
I0326,P0326,755,100,Bhopal,13-01-2025
I0327,P0327,545,117,Indore,02-08-2025
I0328,P0328,218,79,Delhi,02-08-2025
I0329,P0329,199,55,Mumbai,09-03-2025
I0330,P0330,108,55,Mumbai,20-08-2025
I0331,P0331,142,55,Pune,26-08-2025
I0332,P0332,263,83,Pune,19-04-2025
I0333,P0333,465,89,Indore,19-02-2025
I0334,P0334,388,89,Indore,25-06-2025
I0335,P0335,238,49,Bhopal,23-01-2025
I0336,P0336,537,83,Mumbai,15-03-2025
I0337,P0337,717,51,Bhopal,28-05-2025
I0338,P0338,626,107,Pune,10-02-2025
I0339,P0339,526,103,Bhopal,23-02-2025
I0340,P0340,656,48,Indore,09-03-2025
I0341,P0341,598,57,Mumbai,30-04-2025
I0342,P0342,436,102,Indore,12-07-2025
I0343,P0343,337,80,Pune,04-02-2025
I0344,P0344,404,97,Bhopal,10-08-2025
I0345,P0345,137,42,Mumbai,29-08-2025
I0346,P0346,763,118,Delhi,26-06-2025
I0347,P0347,751,87,Indore,15-04-2025
I0348,P0348,536,111,Indore,15-04-2025
I0349,P0349,74,38,Bhopal,19-01-2025
I0350,P0350,715,98,Bhopal,19-01-2025
I0351,P0351,351,98,Mumbai,13-05-2025
I0352,P0352,367,79,Bhopal,13-05-2025
I0353,P0353,767,96,Mumbai,24-04-2025
I0354,P0354,737,92,Delhi,16-03-2025
I0355,P0355,237,66,Mumbai,02-01-2025
I0356,P0356,728,65,Delhi,16-01-2025
I0357,P0357,596,31,Indore,17-03-2025
I0358,P0358,428,93,Pune,06-04-2025
I0359,P0359,113,74,Indore,06-07-2025
I0360,P0360,612,112,Delhi,15-03-2025
I0361,P0361,492,67,Delhi,23-07-2025
I0362,P0362,613,78,Indore,19-03-2025
I0363,P0363,194,100,Indore,16-05-2025
I0364,P0364,400,34,Pune,23-02-2025
I0365,P0365,390,118,Pune,11-04-2025
I0366,P0366,153,91,Mumbai,01-09-2025
I0367,P0367,435,31,Pune,16-02-2025
I0368,P0368,553,91,Pune,15-04-2025
I0369,P0369,740,99,Pune,15-04-2025
I0370,P0370,554,89,Bhopal,23-01-2025
I0371,P0371,114,34,Delhi,03-02-2025
I0372,P0372,502,102,Delhi,25-01-2025
I0373,P0373,144,78,Pune,28-04-2025
I0374,P0374,55,72,Mumbai,28-07-2025
I0375,P0375,147,82,Indore,12-07-2025
I0376,P0376,20,61,Pune,25-06-2025
I0377,P0377,375,72,Mumbai,02-04-2025
I0378,P0378,777,54,Indore,14-03-2025
I0379,P0379,466,87,Bhopal,26-06-2025
I0380,P0380,254,25,Delhi,03-02-2025
I0381,P0381,91,80,Indore,03-02-2025
I0382,P0382,106,45,Indore,01-02-2025
I0383,P0383,267,101,Delhi,04-03-2025
I0384,P0384,271,27,Bhopal,01-06-2025
I0385,P0385,149,34,Mumbai,01-06-2025
I0386,P0386,683,47,Indore,16-04-2025
I0387,P0387,137,79,Indore,12-03-2025
I0388,P0388,769,58,Pune,08-02-2025
I0389,P0389,50,72,Bhopal,21-03-2025
I0390,P0390,27,41,Pune,31-07-2025
I0391,P0391,701,26,Pune,13-06-2025
I0392,P0392,777,92,Indore,22-04-2025
I0393,P0393,728,102,Pune,20-08-2025
I0394,P0394,753,44,Delhi,21-06-2025
I0395,P0395,590,95,Pune,28-06-2025
I0396,P0396,691,62,Indore,04-07-2025
I0397,P0397,796,22,Mumbai,20-06-2025
I0398,P0398,799,21,Bhopal,07-05-2025
I0399,P0399,483,24,Pune,21-04-2025
I0400,P0400,75,22,Bhopal,06-05-2025
I0401,P0401,83,112,Pune,27-08-2025
I0402,P0402,772,110,Indore,27-07-2025
I0403,P0403,608,83,Indore,19-03-2025
I0404,P0404,98,109,Delhi,22-03-2025
I0405,P0405,371,24,Mumbai,27-02-2025
I0406,P0406,273,56,Mumbai,24-07-2025
I0407,P0407,409,101,Indore,19-03-2025
I0408,P0408,590,88,Delhi,25-04-2025
I0409,P0409,498,47,Indore,06-08-2025
I0410,P0410,139,78,Mumbai,19-04-2025
I0411,P0411,533,70,Indore,11-06-2025
I0412,P0412,554,115,Delhi,23-04-2025
I0413,P0413,587,120,Pune,05-08-2025
I0414,P0414,277,93,Bhopal,09-05-2025
I0415,P0415,625,105,Indore,04-09-2025
I0416,P0416,797,114,Pune,04-09-2025
I0417,P0417,791,120,Indore,31-07-2025
I0418,P0418,271,48,Bhopal,21-06-2025
I0419,P0419,31,27,Pune,26-08-2025
I0420,P0420,10,76,Indore,26-08-2025
I0421,P0421,115,76,Pune,22-01-2025
I0422,P0422,232,20,Delhi,09-01-2025
I0423,P0423,99,83,Delhi,11-07-2025
I0424,P0424,73,44,Bhopal,07-06-2025
I0425,P0425,704,35,Bhopal,30-08-2025
I0426,P0426,215,117,Indore,14-07-2025
I0427,P0427,598,57,Mumbai,14-05-2025
I0428,P0428,378,22,Indore,02-01-2025
I0429,P0429,253,22,Mumbai,31-01-2025
I0430,P0430,198,51,Mumbai,05-02-2025
I0431,P0431,108,62,Delhi,13-01-2025
I0432,P0432,37,29,Delhi,13-01-2025
I0433,P0433,109,102,Mumbai,23-02-2025
I0434,P0434,783,73,Indore,27-05-2025
I0435,P0435,122,119,Mumbai,10-08-2025
I0436,P0436,673,106,Delhi,13-08-2025
I0437,P0437,245,20,Mumbai,22-07-2025
I0438,P0438,404,109,Delhi,01-07-2025
I0439,P0439,769,53,Indore,15-08-2025
I0440,P0440,434,83,Indore,14-04-2025
I0441,P0441,742,26,Delhi,05-02-2025
I0442,P0442,674,36,Indore,20-08-2025
I0443,P0443,743,100,Delhi,27-05-2025
I0444,P0444,714,82,Pune,27-02-2025
I0445,P0445,800,95,Indore,03-01-2025
I0446,P0446,78,51,Indore,21-04-2025
I0447,P0447,678,25,Indore,21-04-2025
I0448,P0448,735,51,Pune,25-07-2025
I0449,P0449,315,78,Bhopal,07-08-2025
I0450,P0450,294,43,Mumbai,23-08-2025
I0451,P0451,741,119,Delhi,29-06-2025
I0452,P0452,738,99,Bhopal,12-01-2025
I0453,P0453,404,104,Delhi,03-06-2025
I0454,P0454,557,104,Mumbai,13-03-2025
I0455,P0455,105,88,Mumbai,20-06-2025
I0456,P0456,722,94,Indore,27-01-2025
I0457,P0457,212,26,Bhopal,25-01-2025
I0458,P0458,381,84,Bhopal,28-03-2025
I0459,P0459,324,25,Delhi,28-03-2025
I0460,P0460,389,113,Delhi,02-08-2025
I0461,P0461,342,62,Delhi,07-03-2025
I0462,P0462,334,62,Bhopal,31-03-2025
I0463,P0463,459,116,Delhi,01-05-2025
I0464,P0464,744,34,Mumbai,07-08-2025
I0465,P0465,324,78,Indore,05-01-2025
I0466,P0466,364,65,Bhopal,22-08-2025
I0467,P0467,55,65,Mumbai,22-07-2025
I0468,P0468,364,24,Pune,01-02-2025
I0469,P0469,68,107,Mumbai,29-07-2025
I0470,P0470,718,55,Bhopal,18-08-2025
I0471,P0471,422,120,Bhopal,23-01-2025
I0472,P0472,399,77,Delhi,30-07-2025
I0473,P0473,203,84,Mumbai,12-04-2025
I0474,P0474,749,103,Indore,18-04-2025
I0475,P0475,339,90,Bhopal,03-05-2025
I0476,P0476,451,56,Pune,10-06-2025
I0477,P0477,73,29,Indore,18-04-2025
I0478,P0478,131,29,Delhi,07-02-2025
I0479,P0479,35,24,Pune,07-02-2025
I0480,P0480,707,60,Pune,29-01-2025
I0481,P0481,350,111,Pune,24-01-2025
I0482,P0482,336,100,Pune,28-05-2025
I0483,P0483,634,47,Pune,28-05-2025
I0484,P0484,250,74,Bhopal,29-05-2025
I0485,P0485,425,34,Mumbai,12-06-2025
I0486,P0486,44,86,Indore,13-01-2025
I0487,P0487,336,94,Indore,25-02-2025
I0488,P0488,700,33,Bhopal,17-07-2025
I0489,P0489,146,36,Delhi,17-07-2025
I0490,P0490,629,93,Mumbai,17-07-2025
I0491,P0491,286,92,Bhopal,16-05-2025
I0492,P0492,447,80,Pune,16-05-2025
I0493,P0493,260,80,Pune,29-05-2025
I0494,P0494,215,82,Bhopal,13-02-2025
I0495,P0495,614,81,Pune,14-06-2025
I0496,P0496,100,68,Indore,21-03-2025
I0497,P0497,569,70,Bhopal,18-01-2025
I0498,P0498,353,66,Indore,04-01-2025
I0499,P0499,64,81,Bhopal,08-04-2025
I0500,P0500,738,38,Indore,16-04-2025
I0501,P0501,80,77,Delhi,26-03-2025
I0502,P0502,708,47,Pune,28-05-2025
I0503,P0503,196,110,Bhopal,09-04-2025
I0504,P0504,319,96,Bhopal,20-03-2025
I0505,P0505,361,29,Mumbai,21-08-2025
I0506,P0506,179,110,Delhi,24-02-2025
I0507,P0507,597,54,Indore,05-05-2025
I0508,P0508,240,73,Delhi,10-08-2025
I0509,P0509,57,94,Mumbai,29-01-2025
I0510,P0510,638,79,Mumbai,02-06-2025
I0511,P0511,16,73,Pune,24-03-2025
I0512,P0512,359,60,Mumbai,19-07-2025
I0513,P0513,430,85,Pune,19-07-2025
I0514,P0514,615,62,Delhi,02-09-2025
I0515,P0515,673,29,Bhopal,11-01-2025
I0516,P0516,48,64,Indore,27-03-2025
I0517,P0517,800,111,Pune,20-03-2025
I0518,P0518,435,54,Mumbai,23-06-2025
I0519,P0519,766,86,Delhi,10-05-2025
I0520,P0520,783,50,Indore,19-03-2025
I0521,P0521,83,88,Indore,22-03-2025
I0522,P0522,546,49,Indore,01-04-2025
I0523,P0523,726,39,Indore,02-03-2025
I0524,P0524,506,85,Indore,21-02-2025
I0525,P0525,321,94,Bhopal,12-05-2025
I0526,P0526,777,116,Indore,28-03-2025
I0527,P0527,678,27,Bhopal,06-01-2025
I0528,P0528,83,99,Pune,06-01-2025
I0529,P0529,77,85,Delhi,15-01-2025
I0530,P0530,178,30,Bhopal,22-02-2025
I0531,P0531,292,30,Mumbai,20-08-2025
I0532,P0532,35,73,Delhi,09-01-2025
I0533,P0533,273,106,Mumbai,09-04-2025
I0534,P0534,152,59,Bhopal,05-01-2025
I0535,P0535,717,95,Mumbai,02-08-2025
I0536,P0536,688,25,Indore,21-06-2025
I0537,P0537,228,29,Mumbai,22-07-2025
I0538,P0538,440,104,Mumbai,09-06-2025
I0539,P0539,274,108,Mumbai,10-07-2025
I0540,P0540,748,75,Mumbai,03-07-2025
I0541,P0541,17,110,Indore,17-04-2025
I0542,P0542,590,42,Pune,10-05-2025
I0543,P0543,29,51,Mumbai,29-05-2025
I0544,P0544,653,86,Indore,27-07-2025
I0545,P0545,533,114,Bhopal,28-06-2025
I0546,P0546,641,37,Bhopal,25-02-2025
I0547,P0547,492,92,Mumbai,30-04-2025
I0548,P0548,254,43,Bhopal,13-02-2025
I0549,P0549,190,112,Indore,27-03-2025
I0550,P0550,619,50,Mumbai,11-06-2025
I0551,P0551,718,102,Delhi,24-03-2025
I0552,P0552,253,41,Bhopal,25-05-2025
I0553,P0553,510,34,Pune,29-06-2025
I0554,P0554,487,106,Indore,28-08-2025
I0555,P0555,56,93,Mumbai,21-03-2025
I0556,P0556,609,112,Indore,25-02-2025
I0557,P0557,184,91,Delhi,05-07-2025
I0558,P0558,664,101,Indore,23-03-2025
I0559,P0559,408,28,Bhopal,22-03-2025
I0560,P0560,366,28,Bhopal,23-07-2025
I0561,P0561,664,28,Indore,05-02-2025
I0562,P0562,229,68,Delhi,03-03-2025
I0563,P0563,20,95,Delhi,18-05-2025
I0564,P0564,248,26,Bhopal,18-07-2025
I0565,P0565,720,26,Bhopal,05-05-2025
I0566,P0566,713,59,Delhi,19-03-2025
I0567,P0567,172,56,Bhopal,24-05-2025
I0568,P0568,116,99,Pune,14-04-2025
I0569,P0569,33,35,Mumbai,29-01-2025
I0570,P0570,596,35,Bhopal,20-04-2025
I0571,P0571,675,57,Pune,24-08-2025
I0572,P0572,738,105,Pune,28-03-2025
I0573,P0573,516,112,Delhi,09-07-2025
I0574,P0574,412,102,Indore,22-03-2025
I0575,P0575,272,99,Mumbai,07-04-2025
I0576,P0576,227,106,Indore,01-03-2025
I0577,P0577,646,94,Pune,21-04-2025
I0578,P0578,286,94,Delhi,29-07-2025
I0579,P0579,679,63,Mumbai,28-02-2025
I0580,P0580,789,23,Bhopal,07-09-2025
