order_id,order_date,product_id,customer_id,quantity_sold,payment_mode,region,sales_amount,profit
162,25-06-2025,P0425,C3642,4,Net Banking,North,1864,190.8
163,30-06-2025,P1079,C1393,7,Cash,East,10969,2650.35
164,02-12-2025,P1186,C5730,7,upi,East,9331,435.03
165,12-02-2025,P0828,C6592,6,Cash,East,174,14.69
166,31-08-2025,P0109,C2915,7,Cash,West,4235,-83.26
167,21-03-2025,P0360,C1323,9,upi,Central,2574,325.19
168,28-07-2025,P0774,C2805,4,Cash,North,4296,770.74
169,01-07-2025,P1067,C6920,10,Cash,East,10790,1585.9
170,31-07-2025,P1046,C5823,5,Cash,West,9000,-134.95
171,11-03-2025,P1189,C9531,4,Cash,South,7640,-168.62
172,11-12-2025,P0058,C2526,9,UPI,South,9387,-57.78
173,18-03-2025,P0353,C2850,1,Card,West,794,186.04
174,13-05-2025,P1161,C9556,6,Card,East,11766,1404.64
175,17-09-2025,P0059,C2010,6,Net Banking,East,3516,518.03
176,03-08-2025,P0049,C9471,10,Cash,North,6980,69.1
177,03-02-2025,P0573,C9731,4,upi,East,7520,1082.73
178,26-04-2025,P0780,C4458,3,UPI,Central,2706,541.62
179,23-07-2025,P1077,C5510,6,Cash,West,3168,764.83
180,25-06-2025,P0186,C6109,3,Net Banking,North,3051,217.51
181,26-08-2025,P0665,C9075,3,Net Banking,Central,1665,135.54
182,24-06-2025,P0598,C4431,8,Cash,East,10408,574.9
183,14-03-2025,P0028,C5355,9,UPI,North,5400,1050.6
184,26-03-2025,P0664,C6159,1,UPI,West,2037,195.35
185,19-11-2025,P0526,C7804,92,upi,Central,85744,9421.17
186,06-11-2025,P1047,C2976,6,Net Banking,South,2292,273.98
187,20-03-2025,P0886,C5445,1,UPI,Central,2181,119.73
188,21-04-2025,P0096,C8258,4,UPI,North,9388,105.37
189,24-02-2025,P0938,C9370,8,upi,North,3616,-84.39
190,08-07-2025,P0435,C8186,2,Cash,Central,714,1
191,28-08-2025,P0740,C1977,1,Cash,East,822,98.68
192,03-10-2025,P0415,C2515,3,UPI,Central,3741,432.82
193,07-05-2025,P0365,C1026,5,Net Banking,Central,10395,770.91
194,22-05-2025,P0459,C6073,77,UPI,West,14168,2629.66
195,12-08-2025,P0346,C8469,7,Cash,Central,7350,1198.59
196,08-03-2025,P0758,C5228,2,UPI,East,2242,351.29
197,19-03-2025,P1116,C4128,8,Cash,North,3776,116.83
198,15-05-2025,P1010,C3858,6,Cash,Central,2436,0.38
199,23-05-2025,P0142,C7123,4,Net Banking,Central,7556,792.1
200,01-07-2025,P1027,C4453,6,Net Banking,North,14940,3464.2
201,04-12-2025,P0669,C8646,2,Card,East,4902,-201.46
202,02-04-2025,P0168,C4824,5,UPI,North,10170,839.01
203,17-02-2025,P0665,C2895,6,upi,North,3330,618.46
204,20-01-2025,P0046,C7631,9,Cash,South,4581,966.13
205,07-05-2025,P0095,C3114,8,Cash,East,11280,194.71
206,15-09-2025,P0003,C9352,3,Cash,East,5514,659.08
207,10-01-2025,P0167,C6190,6,Net Banking,Central,2172,298.2
208,05-11-2025,P0362,C9474,7,UPI,East,16296,-21.01
209,14-11-2025,P1049,C3729,7,Cash,South,15491,3710.31
210,28-04-2025,P0986,C4389,5,Cash,South,10645,1763.5
211,14-08-2025,P0922,C9674,4,Cash,Central,2020,310.19
212,11-01-2025,P0137,C9030,1,Cash,South,884,123.35
213,28-04-2025,P0889,C9195,9,upi,West,2331,249.9
214,18-05-2025,P0029,C9864,5,UPI,North,2685,276.5
215,13-10-2025,P0745,C4397,3,Net Banking,North,4869,1126.91
216,21-12-2025,P0367,C5054,9,Card,West,6111,300.22
217,05-04-2025,P0286,C4335,2,Card,North,464,41.17
218,04-01-2025,P0274,C9149,3,UPI,West,552,30.14
219,19-02-2025,P0749,C9989,4,upi,East,1984,160.3
220,09-10-2025,P0787,C5876,3,upi,East,3255,501.02
221,05-11-2025,P0886,C4565,10,Card,South,21810,3576.46
222,10-05-2025,P0167,C3274,10,Cash,West,3620,817.25
223,02-12-2025,P0272,C3749,8,Cash,Central,11464,242.44
224,17-03-2025,P1185,C4399,7,Cash,West,14630,-698.95
225,18-06-2025,P0821,C5145,2,Card,Central,2232,425.53
226,11-08-2025,P0505,C7210,3,Cash,North,1467,245.24
227,11-05-2025,P0409,C1485,3,Cash,South,5760,1187.03
228,16-10-2025,P0791,C3586,4,Cash,Central,7848,761.94
229,02-07-2025,P0153,C9426,5,UPI,South,5125,108.51
230,26-10-2025,P0076,C1485,9,Net Banking,North,765,141.69
231,15-07-2025,P0766,C5731,2,Net Banking,North,3950,907.72
232,27-11-2025,P0929,C8059,10,Net Banking,South,18450,2661.5
233,10-04-2025,P0226,C4421,1,UPI,North,257,10.6
234,11-02-2025,P0130,C7534,6,upi,East,4020,655.22
235,01-04-2025,P0514,C1995,5,upi,West,10730,2050.59
236,08-09-2025,P1158,C3174,5,Card,Central,8875,322.75
237,02-01-2025,P0685,C3203,2,upi,South,2482,331.13
238,04-03-2025,P0238,C4285,1,upi,West,323,73.01
239,27-07-2025,P0709,C5550,3,Card,South,759,-33.46
240,07-08-2025,P0795,C9116,1,Card,Central,2383,222.13
241,11-11-2025,P0297,C4727,3,UPI,South,2166,98.49
242,16-10-2025,P0112,C2653,1,Card,West,2395,556.19
243,09-06-2025,P0886,C6855,1,Cash,South,2181,442.24
244,21-11-2025,P0764,C6965,6,upi,Central,10890,954.46
245,12-03-2025,P0222,C8223,6,Net Banking,East,10476,2032.44
246,02-12-2025,P0589,C6309,4,Net Banking,West,736,55.91
247,18-09-2025,P1132,C2952,5,Net Banking,South,5105,1042.56
248,05-05-2025,P0698,C1411,7,Net Banking,South,4067,396.34
249,12-11-2025,P1193,C4639,9,UPI,West,15390,3625.91
250,04-07-2025,P1114,C7874,1,UPI,West,1558,-70.16
251,27-11-2025,P1023,C5754,1,UPI,Central,2066,313.8
252,15-12-2025,P0779,C5010,5,upi,South,8735,-51.96
253,22-05-2025,P0660,C3020,4,upi,South,3096,1.17
254,30-06-2025,P0405,C3863,6,Net Banking,South,2898,584.97
255,14-11-2025,P0715,C5874,8,Net Banking,South,5864,624.88
256,10-08-2025,P0418,C7794,6,Cash,South,11226,2176.37
257,10-03-2025,P0300,C6310,7,Net Banking,East,5824,637.33
258,24-10-2025,P0584,C3071,1,Card,Central,2451,-63.2
259,03-10-2025,P0385,C4175,7,Card,South,2660,-5.7
260,09-03-2025,P0520,C1943,3,Card,Central,1893,261.94
261,05-01-2025,P1075,C9569,3,Net Banking,Central,6591,-290.42
262,25-09-2025,P0202,C8330,8,Card,East,15912,295.93
263,15-01-2025,P1175,C7452,6,Card,South,12864,3079.68
264,27-02-2025,P0068,C7366,7,Net Banking,Central,4949,833.49
265,06-06-2025,P0105,C9096,10,UPI,Central,13480,657.88
266,01-01-2025,P0011,C4225,8,Card,South,19952,4625.08
267,07-07-2025,P1026,C6574,62,Card,East,15066,2497.31
268,26-11-2025,P1113,C3332,7,Card,West,14560,2257.21
269,26-09-2025,P0896,C7319,5,Net Banking,Central,11345,-148.06
270,27-09-2025,P1172,C7033,1,upi,North,281,17.35
271,28-09-2025,P0076,C6955,3,upi,North,255,-0.13
272,12-11-2025,P0420,C6445,5,Net Banking,North,11895,1091.76
273,29-12-2025,P0033,C1018,2,Net Banking,West,3044,-140.45
274,19-11-2025,P0656,C8038,5,Net Banking,South,12305,2646.48
275,05-09-2025,P0294,C1962,8,Net Banking,South,19184,-808.15
276,10-11-2025,P0414,C7618,3,UPI,North,6690,911.16
277,24-09-2025,P0062,C7868,7,UPI,Central,6601,324.87
278,10-05-2025,P0036,C2528,4,Card,Central,5748,921.39
279,12-03-2025,P0209,C8155,6,Card,South,264,48.36
280,26-01-2025,P0923,C3844,6,Cash,West,7134,828.76
281,05-01-2025,P0985,C5057,1,Cash,West,1592,177.84
282,24-10-2025,P0910,C9270,4,UPI,Central,3260,542.08
283,23-07-2025,P0326,C1949,9,UPI,South,17307,1939.25
284,29-05-2025,P1002,C9683,1,UPI,South,1610,251.57
285,31-01-2025,P0561,C7255,2,upi,North,2350,-82.82
286,29-06-2025,P0671,C9085,10,Cash,West,8930,-56.56
287,02-05-2025,P1116,C1717,6,Net Banking,South,2832,603.97
288,10-11-2025,P1054,C2191,2,Cash,Central,2102,-60.18
289,28-05-2025,P1194,C9046,2,upi,North,3638,-150.84
290,24-07-2025,P0693,C5559,4,upi,West,6288,1313.65
291,06-02-2025,P0089,C2784,5,upi,South,3065,255.55
292,21-09-2025,P1002,C1922,4,Net Banking,South,6440,383.57
293,31-10-2025,P0310,C9830,9,Net Banking,East,10395,879.38
294,11-12-2025,P0721,C8557,2,Cash,Central,3814,134.25
295,27-03-2025,P0712,C1382,5,Card,South,7765,1912.85
296,16-07-2025,P0357,C3147,1,Card,South,1314,-42.79
297,09-02-2025,P0919,C2052,4,Card,Central,336,-10.73
298,28-05-2025,P1071,C6016,10,Cash,South,17550,-209.63
299,25-02-2025,P0409,C6938,8,upi,East,15360,309.31
300,30-06-2025,P0553,C9546,4,upi,East,9192,-239.84
301,08-10-2025,P1151,C6535,9,upi,North,13446,2052.47
302,08-03-2025,P0379,C8385,8,Card,West,18712,350.93
303,05-10-2025,P1086,C3446,9,Card,South,11583,-346.6
304,28-05-2025,P0919,C1725,1,Net Banking,East,84,5.79
305,01-03-2025,P0523,C1232,10,Net Banking,North,17530,2691.76
306,13-02-2025,P1136,C3110,2,Net Banking,East,1952,267.81
307,24-11-2025,P1153,C7761,61,Net Banking,Central,120353,17704.8
308,11-06-2025,P0376,C1747,4,UPI,North,1748,426.82
309,31-10-2025,P0392,C8961,8,Card,East,17032,2067.08
310,30-09-2025,P0289,C6435,5,Net Banking,West,2960,734.94
311,17-02-2025,P0854,C2728,9,Net Banking,West,8316,1966.37
312,08-10-2025,P0701,C2116,7,upi,Central,6468,717.57
313,02-03-2025,P0320,C8134,3,UPI,Central,6036,1483.84
314,04-10-2025,P1043,C5926,7,Net Banking,East,3297,-34.76
315,10-01-2025,P0280,C2152,3,Card,Central,2721,301.83
316,01-07-2025,P0918,C6594,1,Card,East,1076,-50.17
317,13-08-2025,P0174,C5419,3,Cash,West,7242,525.95
318,05-10-2025,P0432,C9564,10,upi,South,990,145.28
319,01-02-2025,P0987,C2680,3,upi,East,2928,-36.36
320,17-05-2025,P0634,C7118,2,Cash,East,2478,351.6
321,05-04-2025,P0337,C4300,10,Cash,North,9730,362.87
322,16-07-2025,P0522,C4267,4,Net Banking,North,1112,249.65
323,28-04-2025,P0419,C6084,9,Net Banking,North,6237,1516.3
324,26-10-2025,P1135,C9588,3,Net Banking,East,4116,164.77
325,09-04-2025,P0007,C8457,6,Cash,Central,12450,2225.4
326,13-06-2025,P0912,C5518,6,Card,South,9246,357.4
327,17-02-2025,P0557,C9216,8,UPI,South,5920,666.02
328,05-04-2025,P1012,C9479,5,Cash,North,11785,2181.71
329,10-01-2025,P0633,C8963,7,Net Banking,North,12670,456.48
330,01-11-2025,P0329,C4521,4,upi,South,5668,1334.1
331,08-10-2025,P0840,C1982,6,Cash,East,1134,172.66
332,20-09-2025,P0693,C5621,9,Cash,West,14148,1999.46
333,04-01-2025,P0312,C5062,10,UPI,North,20930,2439.39
334,06-03-2025,P0792,C6639,10,UPI,West,5730,38.33
335,10-12-2025,P0812,C4583,8,UPI,East,9888,1674.1
336,04-08-2025,P0322,C6476,4,upi,North,3452,378.51
337,08-05-2025,P1066,C9032,3,Cash,South,4425,-214.03
338,23-08-2025,P0881,C4349,8,UPI,West,16208,-631.45
339,08-05-2025,P0147,C3503,6,Cash,East,6180,1119.73
340,01-07-2025,P0265,C6001,9,upi,South,13716,2561.71
341,30-06-2025,P1181,C9627,5,upi,South,1000,217.69
342,28-02-2025,P1038,C5291,8,Cash,Central,14624,838.2
343,04-05-2025,P0268,C5954,4,upi,North,4088,941.9
344,07-10-2025,P0149,C6008,5,Cash,Central,6460,1563.77
345,09-08-2025,P0877,C1460,2,Net Banking,West,1444,28.43
346,30-03-2025,P0105,C3145,2,Net Banking,East,2696,672.4
347,13-02-2025,P0377,C6106,1,UPI,Central,1904,198.34
348,25-06-2025,P0902,C3303,10,Net Banking,West,18140,2681.34
349,16-05-2025,P0764,C1478,5,UPI,South,9075,2064.67
350,18-08-2025,P1143,C4140,1,Net Banking,North,392,16.66
351,18-06-2025,P0813,C7344,4,Card,North,1060,99.6
352,17-12-2025,P0089,C3786,9,upi,West,5517,983.24
353,01-10-2025,P0964,C9152,8,upi,South,19280,-869.62
354,08-04-2025,P0493,C7825,7,UPI,North,17374,3522.51
355,06-09-2025,P0274,C5565,6,upi,South,1104,73.5
356,15-06-2025,P0253,C3844,3,UPI,East,1626,106.64
357,29-03-2025,P1077,C1890,8,upi,West,4224,-90.57
358,05-05-2025,P0034,C5194,1,Cash,South,2358,-114.05
359,12-09-2025,P1082,C1458,7,upi,South,2660,184.03
360,14-02-2025,P0349,C5373,8,Card,East,10672,2058.76
361,11-05-2025,P0278,C2836,3,Card,West,4776,-25.73
362,14-06-2025,P0004,C4468,4,Card,South,2708,586.48
363,11-04-2025,P0903,C9758,9,upi,North,6687,1079.93
364,09-07-2025,P1138,C8134,1,UPI,South,1588,337.85
365,03-03-2025,P0949,C6852,5,Cash,South,9875,1732.16
366,06-08-2025,P0296,C6688,8,Net Banking,East,18616,4386.64
367,03-05-2025,P0062,C3336,5,Net Banking,North,4715,759.99
368,21-02-2025,P1200,C2223,2,Net Banking,South,4742,874.5
369,11-01-2025,P0398,C4832,1,Cash,North,2067,200.86
370,06-07-2025,P0618,C3023,3,Card,South,5778,539.5
371,09-07-2025,P0261,C6446,1,Card,South,1931,243.33
372,01-03-2025,P0114,C2532,5,Net Banking,Central,9405,2298.67
373,10-01-2025,P0375,C7584,9,upi,North,20664,716.65
374,10-05-2025,P0883,C6599,4,UPI,South,7704,-42.01
375,17-02-2025,P0376,C6761,6,Net Banking,North,2622,-105.74
376,03-11-2025,P0094,C4752,3,Cash,West,4434,846.68
377,17-02-2025,P1089,C2539,8,upi,East,9832,2384.24
378,27-12-2025,P0728,C3861,8,upi,East,8040,371.66
379,01-12-2025,P0304,C1937,2,upi,West,4570,857.09
380,15-09-2025,P0962,C2792,4,upi,East,3856,454.29
381,24-07-2025,P0987,C2207,9,UPI,East,8784,723.29
382,18-08-2025,P0258,C9680,10,Net Banking,North,23750,859.85
383,16-08-2025,P0343,C5984,7,Card,East,987,95.49
384,08-09-2025,P1001,C3373,4,Net Banking,Central,8108,467.61
385,04-12-2025,P0352,C4295,3,upi,North,525,54.01
386,24-03-2025,P0032,C7521,8,Cash,West,7336,-176.91
387,15-10-2025,P0776,C9288,2,Net Banking,Central,3302,432.63
388,25-10-2025,P0155,C1840,7,Cash,North,6881,1572.51
389,16-07-2025,P0039,C6922,7,Card,West,11347,-435.05
390,08-04-2025,P0760,C3094,6,Cash,East,14616,260.79
391,27-05-2025,P0489,C6963,1,UPI,West,2261,-36.18
392,29-06-2025,P0372,C6921,1,UPI,West,2238,229.79
393,12-02-2025,P1130,C7782,10,UPI,South,760,142.74
394,31-12-2025,P1087,C5478,3,UPI,North,1314,198.81
395,18-04-2025,P0743,C8556,5,Net Banking,South,2230,304.88
396,16-11-2025,P0520,C3848,8,upi,South,5048,1.15
397,16-04-2025,P0992,C6512,3,upi,South,2946,675.91
398,08-08-2025,P1011,C1482,4,upi,East,8152,438.7
399,07-11-2025,P0973,C4672,10,UPI,West,5870,-88.56
400,06-03-2025,P1127,C2775,4,Cash,South,7176,542.25
401,31-01-2025,P0978,C8945,4,Net Banking,West,6356,306.24
402,04-02-2025,P0800,C3919,35,Net Banking,Central,36575,1620.9
403,23-01-2025,P0826,C3523,4,UPI,Central,1088,89.96
404,11-12-2025,P0575,C7586,3,UPI,North,6483,1507.49
405,30-12-2025,P0345,C4919,1,Net Banking,South,201,43.08
406,03-02-2025,P0515,C1538,4,Card,North,3196,-91.79
407,20-04-2025,P0301,C8263,6,Card,North,9030,350.36
408,21-04-2025,P0586,C2663,10,UPI,Central,22840,3782.52
409,06-10-2025,P0006,C2056,5,UPI,Central,1355,338.12
410,15-01-2025,P1007,C1168,3,Net Banking,West,7386,1055.29
411,13-03-2025,P1005,C9603,10,UPI,North,2960,233.35
412,27-05-2025,P0695,C1383,10,Cash,North,15410,3748.6
413,03-07-2025,P0491,C8736,6,Cash,North,10458,68.69
414,04-08-2025,P1046,C2077,4,Net Banking,Central,7200,-239.83
415,04-03-2025,P0337,C2452,3,Card,Central,2919,-113.35
416,06-11-2025,P0936,C8267,8,upi,South,7648,1094.05
417,29-04-2025,P1094,C5368,4,Net Banking,East,2416,30.84
418,04-07-2025,P1095,C7562,8,Net Banking,Central,16616,2505.49
419,24-06-2025,P0912,C4136,2,Net Banking,East,3082,601.94
420,26-08-2025,P0615,C1090,1,Cash,South,44,6.68
421,30-04-2025,P0509,C5870,8,Cash,North,5976,945.05
422,23-10-2025,P1101,C6590,4,upi,South,2080,288.95
423,31-10-2025,P0881,C3497,8,UPI,East,16208,1925.29
424,20-12-2025,P0729,C5571,1,UPI,South,2358,-48.52
425,16-02-2025,P0041,C4402,6,Card,South,3804,47
426,06-03-2025,P0915,C7247,1,UPI,East,1065,177.69
427,16-10-2025,P0641,C5521,3,Cash,East,7377,580.7
